0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,Rec Usage,note
223,AcademicAwardShape,ceds:P000001,Academic Award Date,FALSE,FALSE,Literal,xsd:date,,,,,Recommended,ccyy-mm-dd
224,AcademicAwardShape,ceds:P000003,Academic Award Title,FALSE,FALSE,Literal,xsd:string,400,maxLength,,,Recommended,
222,AcademicAwardShape,ceds:P001668,Academic Award Level Type,FALSE,FALSE,IRI,,"ceds:NI001668151655
ceds:NI001668151657
ceds:NI001668151658
ceds:NI001668151659
ceds:NI001668151660
ceds:NI001668151661
ceds:NI001668151662
ceds:NI001668151663
ceds:NI001668151664
ceds:NI001668151665
ceds:NI001668151666
ceds:NI001668151667
ceds:NI001668151668
ceds:NI001668151669
ceds:NI001668151670
ceds:NI001668151671
ceds:NI001668151687
ceds:NI001668151686",picklist,,,Recommended,
226,AcademicAwardShape,pesc:academicCompletionDate,Academic Completion Date,FALSE,FALSE,Literal,xsd:date,,,,,Recommended,ccyy-mm-dd
225,AcademicAwardShape,pesc:academicCompletionIndicator,Academic Completion Indicator,FALSE,FALSE,Literal,xsd:boolean,,,,,Recommended,true/false
277,AcademicAwardShape,pesc:academicDegreeRequirement,Academic Degree Requirement,FALSE,TRUE,BNODE,,,,AcademicDegreeRequirementShape,pesc:AcademicDegreeRequirement,Recommended,
227,AcademicAwardShape,pesc:academicHonors,Academic Honors,FALSE,TRUE,BNODE,,,,AcademicHonorsShape,pesc:AcademicHonors,Recommended,
232,AcademicAwardShape,pesc:inProgram,Academic Award Program,TRUE,TRUE,IRI BNODE,,,,AcademicProgramShape,ceds:C200331,Recommended,
,AcademicAwardShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200335,,,,Required,
279,AcademicDegreeRequirementShape,pesc:thesisDissertationAdvisor,Thesis Dissertation Advisor,FALSE,FALSE,Literal,xsd:string,45,maxLength,,,Optional,
278,AcademicDegreeRequirementShape,pesc:thesisDIssertationTitle,Thesis Dissertation Title,FALSE,FALSE,Literal,xsd:string,400,maxLength,,,Recommended,
136,AcademicDegreeRequirementShape,pesc:urlAddress,URL Address,FALSE,FALSE,Literal,xsd:anyURI,512,maxLength,,,Recommended,URL of thesis / dissertation. Consider renaming this class
,AcademicDegreeRequirementShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:AcademicDegreeRequirement,,,,,
231,AcademicHonorsShape,pesc:honorsLevel,Honors Level,FALSE,FALSE,IRI,,"pescHonorsLevels:FirstHighest
pescHonorsLevels:SecondHighest
pescHonorsLevels:ThirdHighest",picklist,,,Recommended,
230,AcademicHonorsShape,pesc:honorsTitle,Honors Title,FALSE,FALSE,Literal,xsd:string,30,maxLength,,,Recommended,
,AcademicHonorsShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:AcademicHonors,,,,,
385,AdditionalStudentAchievmentShape,pesc:attributeAchieved,Attribute Achieved,FALSE,TRUE,IRI BNODE,,,,RAPShape,ceds:C200065,Optional,
382,AdditionalStudentAchievmentShape,pesc:conditionsMetCode,Conditions Met Code,FALSE,TRUE,IRI,,"pescConditionsMetCodes:Yes
pescConditionsMetCodes:No
pescConditionsMetCodes:Conditional
pescConditionsMetCodes:MutuallyDefined",picklist,,,Recommended,
383,AdditionalStudentAchievmentShape,pesc:conditionsMetDate,Conditions Met Date,FALSE,TRUE,Literal,xsd:date,,,,,Optional,
,AdditionalStudentAchievmentShape,pesc:inCourse,In Course,TRUE,FALSE,IRI BNODE,,,,CourseShape,ceds:C200328,,
387,AdditionalStudentAchievmentShape,pesc:languageAchieved,Language Achieved,FALSE,TRUE,BNODE,,,,LanguageShape,ceds:C200293,Optional,
386,AdditionalStudentAchievmentShape,pesc:proficiencyAchieved,Proficiency Achieved,FALSE,TRUE,IRI BNODE,,,,RAPShape,ceds:C200065,Optional,
384,AdditionalStudentAchievmentShape,pesc:requirementAchieved,Requirement Achieved,FALSE,TRUE,IRI BNODE,,,,RAPShape,ceds:C200065,Optional,
,AdditionalStudentAchievmentShape,rdf:type,Type,TRUE,,IRI,,pesc:AdditionalStudentAchievement,,,,,
307,CourseAchievementShape,ceds:P000064,Course Quality Points Earned,FALSE,FALSE,Literal,xsd:decimal,,,,,Recommended,decimal
299,CourseAchievementShape,ceds:P000065,Has Course Repeat Code,FALSE,FALSE,IRI,,"ceds:NI000065116744
ceds:NI000065116745
ceds:NI000065116748
ceds:NI000065116747
ceds:NI000065116746
ceds:NI000065116260",picklist,,,Recommended,
294,CourseAchievementShape,ceds:P000200,Number of Credits Earned,FALSE,FALSE,Literal,xsd:decimal,,,,,Recommended,decimal
316,CourseAchievementShape,ceds:P001300,Course Add Date,FALSE,FALSE,Literal,xsd:date,,,,,Optional,
317,CourseAchievementShape,ceds:P001305,Course DropDate,FALSE,FALSE,Literal,xsd:date,,,,,,
,CourseAchievementShape,pesc:courseEquivalentGrade,Course Equivalent Grade,FALSE,FALSE,BNODE,,,,GradeShape,pesc:Grade,,
,CourseAchievementShape,pesc:courseGrade,Course Grade,FALSE,FALSE,BNODE,,,,GradeShape,pesc:Grade,,
325,CourseAchievementShape,pesc:courseSupplementalGrade,Course Supplemental Grade,FALSE,FALSE,BNODE,,,,CourseSupplementalGradeShape,pesc:CourseSupplementalGrade,Required,
388,CourseAchievementShape,pesc:inCourse,In Course,TRUE,FALSE,IRI BNODE,,,,CourseShape,ceds:C200328,Required,
