0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,Rec Usage,note
104,ContactShape,ceterms:address,Address,FALSE,TRUE,BNODE,,,,PostalAddressShape,ceterms:PostalAddress,Recommended,
116,PostalAddressShape,ceterms:addressCountry,Country Code,TRUE,FALSE,Literal,xsd:token,,,,,Required,pesc:core:InternationalAddressDetailsGroup
111,PostalAddressShape,ceterms:addressLocality,"Address Locality, e.g. City",TRUE,FALSE,Literal,rdf:langString,,,,,Required,pesc:core:CommonAddressDetailsGroup
112,PostalAddressShape,ceterms:addressRegion,"Address Region, e.g State or Province Code",TRUE,FALSE,Literal,xsd:token,,,,,Required,"pesc:core:DomesticAddressDetailsGroup
pesc:core:InternationalAddressDetailsGroup"
6,ContactShape,ceterms:contactType,Contact Type,FALSE,TRUE,Literal,rdf:langString,1..80,lengthRange,,,Optional,
115,PostalAddressShape,ceterms:postalCode,Postal Code,FALSE,FALSE,Literal,xsd:token,,,,,Required,"pesc:core:DomesticAddressDetailsGroup
pesc:core:InternationalAddressDetailsGroup"
110,PostalAddressShape,ceterms:streetAddress,Street Address,TRUE,TRUE,Literal,rdf:langString,,,,,Required,pesc:core:CommonAddressDetailsGroup
7,ContactShape,elm:additionalNote,Additional Note,FALSE,TRUE,IRI BNODE,,,,NoteShape,elm:Note,Not Recommended,
123,ContactShape,pesc:attentionLine,Attention Line,FALSE,TRUE,Literal,rdf:langString,45,maxLength,,,Optional,
126,PhoneShape,pesc:countryPrefixCode,Country Prefix Code,FALSE,FALSE,Literal,xsd:string,3,maxLength,,,Optional,
108,ContactShape,pesc:email,Email Address,FALSE,TRUE,Literal,xsd:string,,,,,Optional,
107,ContactShape,pesc:faxPhone,FAX Phone,FALSE,TRUE,BNODE,,,,PhoneShape,pesc:Phone,Optional,
106,ContactShape,pesc:phone,Phone,FALSE,TRUE,BNODE,,,,PhoneShape,pesc:Phone,Optional,
130,PhoneShape,pesc:phoneNumber,Phone Number,TRUE,FALSE,Literal,xsd:string,11,maxLength,,,Required,"Including the area code, no spaces or other delimiters."
132,PhoneShape,pesc:phoneNumberExtension,Phone Number Extension,FALSE,FALSE,Literal,xsd:string,5,maxLength,,,Optional,
109,ContactShape,pesc:url,URL,FALSE,TRUE,Literal,xsd:anyURI,,,,,Optional,
289,ContactShape,rdf:type,Type,TRUE,TRUE,IRI,,ceterms:ContactPoint,,,,,
,PhoneShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:Phone,,,,,
,PostalAddressShape,rdf:type,Type,TRUE,FALSE,IRI,,ceterms:PostalAddress,,,,,
