0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,Rec Usage,note
,AcademicProgramShape,ceterms:hasPart,Has Part,FALSE,TRUE,IRI BNODE,,,,CourseShape,,
,AcademicProgramShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200331,,,,
,AcademicProgramShape,ceterms:offeredBy,Offered By,TRUE,FALSE,IRI BNODE,,,,OrganizationShape,,
233,AcademicProgramShape,pesc:programSecondarySchoolCode,Program Secondary School Code,FALSE,FALSE,IRI,,"pescSecondarySchoolCodes:CareerPrep
pescSecondarySchoolCodes:CollegePrep
pescSecondarySchoolCodes:CollegePrepOrCollegeTechPrep
pescSecondarySchoolCodes:CollegeTechPrep
pescSecondarySchoolCodes:General
pescSecondarySchoolCodes:Occupational
pescSecondarySchoolCodes:Vocational",picklist,,Not Recommended,
235,AcademicProgramShape,ceds:P000043,Has Classification of Instructional Program Code,FALSE,FALSE,Literal,xsd:string,^\d{2}\.\d{4}$,pattern,,Not Recommended,
237,AcademicProgramShape,pesc:programHEGISCode,Program HEGIS Code,FALSE,FALSE,Literal,xsd:string,6..20,lengthRange,,Recommended,
243,AcademicProgramShape,pesc:programESISCode,Program ESIS Code,FALSE,FALSE,Literal,xsd:string,1..20,lengthRange,,Optional,
245,AcademicProgramShape,ceterms:codedNotation,Coded Notation,FALSE,FALSE,Literal,xsd:string,1..20,lengthRange,,Not Recommended,
247,AcademicProgramShape,pesc:academicProgramType,Academic Program Type,FALSE,FALSE,IRI,,"pescAcademicProgramTypes:Concentration
pescAcademicProgramTypes:Focus
pescAcademicProgramTypes:Major
pescAcademicProgramTypes:Minor
pescAcademicProgramTypes:SecondMajor
pescAcademicProgramTypes:Specialization",picklist,,Recommended,
249,AcademicProgramShape,ceterms:name,Academic Program Name,FALSE,FALSE,Literal,rdf:langString,60,maxLength,,Optional,
,AcademicSessionShape,rdf:type,Type,TRUE,TRUE,IRI,,ceds:C200245,,,,
283,AcademicSessionShape,ceds:P000252,Session Designator,TRUE,FALSE,Literal,xsd:gYearMonth,,,,Required,
284,AcademicSessionShape,pesc:sessionDesignatorSuffix,Session Designator Suffix,FALSE,FALSE,Literal,xsd:string,10,maxLength,,Optional,
285,AcademicSessionShape,ceterms:name,Session Name,FALSE,FALSE,Literal,rdf:langString,30,maxLength,,Recommended,
