0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,Rec Usage,note
155,StudentShape,ceds:P000033,Birth Date,FALSE,FALSE,Literal,xsd:date,,,,,Recommended,
167,PersonNameShape,ceds:P000115,First Name,FALSE,FALSE,Literal,xsd:token,35,maxLength,,,Recommended,
173,PersonNameShape,ceds:P000121,Name Suffix,FALSE,FALSE,Literal,,"JR
SR
I
II
III
IV
V
VI
VII
VIII
IX
X",picklist,,,Recommended,
171,PersonNameShape,ceds:P000172,Last Name,FALSE,FALSE,Literal,xsd:token,35,maxLength,,,Recommended,
169,PersonNameShape,ceds:P000184,Middle Name,FALSE,TRUE,Literal,xsd:token,35,maxLength,,,Recommended,
165,PersonNameShape,ceds:P000212,Name Prefix,FALSE,FALSE,Literal,xsd:token,30,maxLength,,,Not Recommended,
196,LanguageShape,ceds:P000316,Language Usage,FALSE,TRUE,IRI,,"ceds:NI000316151876
ceds:NI000316151874
pescLanguageUsageCodes:Reading
ceds:NI000316151877
ceds:NI000316151875
pescLanguageUsageCodes:Writing
ceds:NI000316151878",picklist,,,Optional,
192,LanguageShape,ceds:P000317,Has ISO 669-2 Language Code,FALSE,FALSE,Literal,xsd:string,3..3,lengthRange,,,Optional,pesc:appendix C1 or pesc:appendix C2
,PersonIdentifierShape,ceds:P001075,hasStudentIdentificationSystem,TRUE,FALSE,IRI,,"ceds:NI001075173041
ceds:NI001075173046
ceds:NI001075173047
ceds:NI001075173048",picklist,,,,
,PersonIdentifierShape,ceds:P001572,Person Identifier,TRUE,FALSE,Literal,xsd:string,,,,,,
,StudentShape,ceds:P600049,hasPersonIdentifier,FALSE,TRUE,IRI BNODE,,,,PersonIdentifierShape,ceds:C200291,,
191,StudentShape,ceds:P600052,Has Person Language,FALSE,TRUE,IRI BNODE,,,,LanguageShape,ceds:C200293,Optional,
163,StudentShape,ceds:P600101,Has Other Person Name,FALSE,TRUE,IRI BNODE,,,,PersonNameShape,ceds:C200377,,
162,StudentShape,ceds:P600336,Has Person Name,TRUE,FALSE,IRI BNODE,,,,PersonNameShape,ceds:C200377,Required,
96,StudentShape,ceterms:targetContactPoint,Contact,FALSE,TRUE,IRI BNODE,,,,ContactShape,ceterms:ContactPoint,Recommended,
14,StudentShape,elm:additionalNote,Additional Note,FALSE,TRUE,IRI BNODE,,,,NoteShape,elm:Note,Not Recommended,
158,StudentShape,pesc:birthCity,Birth City,FALSE,FALSE,Literal,xsd:string,25,maxLength,,,Optional,
160,StudentShape,pesc:birthCountry,Birth Country,FALSE,FALSE,Literal,xsd:string,,picklist,,,Optional,pesc.AppendixB1 or pesc.AppendixB2 Keep as string for now
156,StudentShape,pesc:birthday,Birthday,FALSE,FALSE,Literal,xsd:gMonthDay,,,,,Optional,
159,StudentShape,pesc:birthStateProvinceCode,Birth State Province Code,FALSE,FALSE,Literal,xsd:string,,picklist,,,Optional,pesc.appendixA Keep as string for now
157,StudentShape,pesc:birthYear,Birth Year,FALSE,FALSE,Literal,xsd:gYear,,,,,Not Recommended,
198,StudentShape,pesc:cohortGraduationYear,Cohort Graduation Year,FALSE,FALSE,Literal,xsd:gYear,,maxLength,,,Not Recommended,ccyy
177,PersonNameShape,pesc:compositeName,Composite Name,FALSE,FALSE,Literal,xsd:string,45,maxLength,,,Not Recommended,
187,ResidencyShape,pesc:country,Country,FALSE,FALSE,Literal,xsd:string,30,maxLength,,,Optional,
186,ResidencyShape,pesc:countryCode,Country Code,FALSE,FALSE,Literal,xsd:string,,,,,Optional,pesc.AppendixB1 or pesc.AppendixB2 Keep as string for now
185,ResidencyShape,pesc:county,County,FALSE,FALSE,Literal,xsd:string,30,maxLength,,,Optional,
184,ResidencyShape,pesc:countyCode,County Code,FALSE,FALSE,Literal,xsd:string,3..3,lengthRange,,,Optional,
190,StudentShape,pesc:deceasedIndicator,Deceased Indicator,FALSE,FALSE,Literal,xsd:boolean,,,,,Required,true/false
180,StudentShape,pesc:genderCode,Gender Code,FALSE,FALSE,IRI,,"pescGenderCodes:Female
pescGenderCodes:Male
pescGenderCodes:Unreported",picklist,,,Required,
140,StudentShape,pesc:hasAchievement,Has Achievement,FALSE,TRUE,IRI BNODE,,,,,"pesc:AdditionalStudentAchievement
ceds:C200335
ceds:C200346
pesc:GPA
pesc:AcademicSummary
pesc:ProgramSummary
pesc:LicensureAchievement
ceds:C200047",Required,
181,StudentShape,pesc:hasResidency,Residency,FALSE,FALSE,IRI BNODE,,,,ResidencyShape,pesc:Residency,Optional,
,StudentShape,pesc:hasSummary,Has Summary,FALSE,TRUE,IRI BNODE,,,,,"pesc:AcademicSummary
pesc:AwardSummary
pesc:ProgramSummary
pesc:SessionSummary",Required,
194,LanguageShape,pesc:languageProficiency,Language Proficiency,FALSE,FALSE,IRI,,"pescLanguageProficiencyCodes:EnglishOnly
pescLanguageProficiencyCodes:FullyEnglishProficient
pescLanguageProficiencyCodes:LimitedEnglishProficiency
pescLanguageProficiencyCodes:NonEnglishSpeaking
pescLanguageProficiencyCodes:RedesignatedFluentEnglishProficient
pescLanguageProficiencyCodes:Excellent
pescLanguageProficiencyCodes:Good
pescLanguageProficiencyCodes:Fair
pescLanguageProficiencyCodes:Poor
pescLanguageProficiencyCodes:Unacceptable
pescLanguageProficiencyCodes:Unknown",picklist,,,Optional,
164,PersonNameShape,pesc:nameCode,Name Code,FALSE,FALSE,IRI,,"pescNameCodes:Casual
pescNameCodes:Formal
pescNameCodes:Former
pescNameCodes:LawSchoolApplicationSource
pescNameCodes:Legal
pescNameCodes:MedicalSchoolApplicationSource
pescNameCodes:Nickname
pescNameCodes:Other",picklist,,,Recommended,
188,ResidencyShape,pesc:residencyStatusCode,Residency Status Code,FALSE,FALSE,IRI,,"pescResidencyStatusCodes:InCity
pescResidencyStatusCodes:InCounty
pescResidencyStatusCodes:InDistrict
pescResidencyStatusCodes:InState
pescResidencyStatusCodes:NonResident
pescResidencyStatusCodes:NotReported
pescResidencyStatusCodes:OtherResident
pescResidencyStatusCodes:Resident",picklist,,,Optional,
183,ResidencyShape,pesc:stateProvince,State Province,FALSE,FALSE,Literal,xsd:string,30,maxLength,,,Optional,
