0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,Severity,Rec Usage,note
,AwardSummaryShape,elm:additionalNote,Additional Note,FALSE,TRUE,IRI BNODE,,,,NoteShape,elm:Note,,Not Recommended,
,ProgramSummaryShape,elm:additionalNote,Additional Note,FALSE,TRUE,IRI BNODE,,,,NoteShape,elm:Note,,Not Recommended,
,SessionSummaryShape,elm:additionalNote,Additional Note,FALSE,TRUE,IRI BNODE,,,,NoteShape,elm:Note,,Not Recommended,
,AcademicSummaryShape,elm:additionalNote,Additional Note,FALSE,TRUE,IRI BNODE,,,,NoteShape,elm:Note,,Optional,
,AwardSummaryShape,pesc:academicHonors,Academic Honors,FALSE,TRUE,BNODE,,,,AcademicHonorsShape,pesc:AcademicHonors,,Recommended,
,ProgramSummaryShape,pesc:academicHonors,Academic Honors,FALSE,TRUE,BNODE,,,,AcademicHonorsShape,pesc:AcademicHonors,,Recommended,
,SessionSummaryShape,pesc:academicHonors,Academic Honors,FALSE,TRUE,BNODE,,,,AcademicHonorsShape,pesc:AcademicHonors,,Optional,
229,AcademicSummaryShape,pesc:academicHonors,Academic Honors,FALSE,FALSE,BNODE,,,,AcademicHonorsShape,pesc:AcademicHonors,,Recommended,
,AwardSummaryShape,pesc:academicSummaryLevel,Academic Summary Level,FALSE,FALSE,IRI,,"pescCreditLevels:Dual
pescCreditLevels:DualGraduate
pescCreditLevels:Undergraduate
pescCreditLevels:Grade13
pescCreditLevels:Ungraded
pescCreditLevels:DualHighSchoolCollege
pescCreditLevels:Graduate
pescCreditLevels:GraduateProfessional
pescCreditLevels:LowerDivision
pescCreditLevels:Professional
pescCreditLevels:Secondary
pescCreditLevels:TechnicalPreparatory
pescCreditLevels:Undergraduate
pescCreditLevels:UpperDivision
pescCreditLevels:Vocational",picklist,,,,Recommended,
,ProgramSummaryShape,pesc:academicSummaryLevel,Academic Summary Level,FALSE,FALSE,IRI,,"pescCreditLevels:Dual
pescCreditLevels:DualGraduateUndergraduate
pescCreditLevels:Grade13
pescCreditLevels:Ungraded
pescCreditLevels:DualHighSchoolCollege
pescCreditLevels:Graduate
pescCreditLevels:GraduateProfessional
pescCreditLevels:LowerDivision
pescCreditLevels:Professional
pescCreditLevels:Secondary
pescCreditLevels:TechnicalPreparatory
pescCreditLevels:Undergraduate
pescCreditLevels:UpperDivision
pescCreditLevels:Vocational",picklist,,,,Not Recommended,
