URI,Type,Label,Comment,Usage Note,Domain Includes,Range Includes,Sub-of
pesc:,Ontology,PESC College Transcript Terms,RDF terms defined by PESC for College Transcripts.,,,,
pesc:AcademicDegreeRequirement,Class,Academic Degree Requirement,,,,,
pesc:AcademicHonors,Class,Academic Honors,,,,,
pesc:AcademicRecord,Class,Academic Record,,,,,
pesc:AcademicSummary,Class,Academic Summary,,,,,
pesc:Achievement,Class,Achievement,An achievement of any type.,Not used in data that conforms to PESC Transcript. Instead use the more granular types of achievement.,,,
pesc:AdditionalStudentAchievement,Class,Additional Student Achievment,,,,,
pesc:AgencyIdentifier,Class,Agency Identifier,,,,,
pesc:AwardSummary,Class,Award Summary,,,,,
pesc:CollegeTranscript,Class,College Transcript,,,,,
pesc:CourseRepeatCode,Class,Course Repeat Code,,,,,
pesc:CourseSupplementalGrade,Class,Course Supplemental Grade,,,,,
pesc:GPA,Class,GPA,,,,,
pesc:Grade,Class,Grade,,,,,
pesc:Licensure,Class,Licensure,,,,,
pesc:LicensureAchievement,Class,Licensure Achievement,,,,,
pesc:Phone,Class,Phone,,,,,
pesc:ProgramSummary,Class,Program Summary,,,,,
pesc:Residency,Class,Residency,,,,,
pesc:SessionSummary,Class,Session Summary,,,,,
pesc:Summary,Class,Summary,,,,,
pesc:createdDateTime,Property,Created Date Time,The date and Time stamp when the document was created.,,,xsd:dateTime,
pesc:describesAchievement,Property,Describes Achievement,,,,,
pesc:destination,Property,Destination,The destination or recipient of the transcript being sent.,,,,
pesc:documentCompleteCode,Property,Document Complete Code,Indicates whether the document conveys a complete record,,,skos:Concept,
pesc:documentID,Property,Document ID,Identifier for this document.,The general practice is that the identifier includes the date and time plus other identifying data.,,xsd:string,
pesc:documentOfficialCode,Property,Document Official Code,Indicates if the document is unofficial.,,,skos:Concept,
pesc:documentProcessCode,Property,Document Process Code,Indicates a TEST or PRODUCTION document.,,,skos:Concept,
pesc:documentTypeCode,Property,Document type Code,The type and purpose of document being transmitted.,,,skos:Concept,
pesc:requestTrackingID,Property,Request Tracking ID,The Unique ID associated with a request action that is returned to the requestor for document matching and tracking.,,,xsd:string,
pesc:source,Property,Source,Indicates the source of the Transcript being sent.  It is normally the sending school where the student enrolled for courses.,,,,
pesc:student,Property,student,The person who is the subject of this transcript.,,,,
pesc:transmissionType,Property,Transmission Type,The nature of the transmission.,,,skos:Concept,
pesc:academicHonors,Property,Academic Honors,Honors information for an academic award.,,,,
pesc:academicSummaryLevel,Property,Academic Summary Level,The level of credit associated with the credit hours earned for the course.,,,,
pesc:academicSummaryType,Property,Academic Summary Type,Indication of what is being summarized over which period of time.,,,skos:Concept,
pesc:classRank,Property,Class Rank,The student's class rank relative to other students in their academic cohort (e.g. class).,,,xsd:integer,
pesc:classRankDate,Property,Class Rank Date,The date on which the student was included in the class ranking and the class was ranked.,,,xsd:date,
