"Type","URI","Label","Definition","Notation","Related term","Relationship"
"Concept","pescAcademicAwardLevels:B17","B17","Did not complete secondary school","B17","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B18","B18","Standard High School Diploma which may or may not include an exit test","B18","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B19","B19","Advanced or honors diploma","B19","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B20","B20","Vocational diploma","B20","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B21","B21","Special Education Diploma normally for students with a disabilit","B21","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B22","B22","Certificate of completion or attendance","B22","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B23","B23","Special certificate of completion or attendance","B23","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B24","B24","General Education Development Test Diploma (GED)","B24","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B25","B25","Other high school equivalency diploma","B25","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B26","B26","International diploma or certificate (such as International Baccalaureate)","B26","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B27","B27","Standard High School Diploma with only 3 year curriculum","B27","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B28","B28","Met all graduation requirements except for required exit test","B28","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B58","B58","B58","B58","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B59","B59","B59","B59","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:B60","B60","B60","B60","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:0.0","0.0","""Other"" - value to represent an award that does not otherwise fit existing enumerations","0.0","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:1.1","1.1","Certificate of completion,","1.1","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:1.2","1.2","Certificate of proficiency","1.2","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:1.3","1.3","Statement of participation","1.3","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:1.4","1.4","Statement of completion","1.4","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:1.5","1.5","Statement of achievement","1.5","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:2.0","2.0","Certificate","2.0","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:2.1","2.1","Postsecondary Certificate Or Diploma (less than one year)","2.1","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:2.2","2.2","Postsecondary Certificate Or Diploma (one year or more but less than four years)","2.2","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:2.3","2.3","Associate Degree (e.g., Associate In Arts, Associate In Science)","2.3","pescAcademicAwardLevels:","inScheme, topConceptOf"
"Concept","pescAcademicAwardLevels:2.4","2.4","Baccalaureate Degree","2.4","pescAcademicAwardLevels:","inScheme, topConceptOf"
