"Type","URI","Label","Definition","Notation","Related term","Relationship"
"Concept","pescStudentLevelCodes:Infant","Infant","Infant (0 to age 2)","Infant","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:PreKindergarten","Pre Kindergarten","Pre Kindergarten","PreKindergarten","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:HalfDayKindergarten","Half Day Kindergarten","Half Day Kindergarten","HalfDayKindergarten","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:Kindergarten","Kindergarten","Kindergarten","Kindergarten","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:FirstGrade","First Grade","First Grade","FirstGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:SecondGrade","Second Grade","Second Grade","SecondGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:ThirdGrade","Third Grade","Third Grade","ThirdGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:FourthGrade","Fourth Grade","Fourth Grade","FourthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:FifthGrade","Fifth Grade","Fifth Grade","FifthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:SixthGrade","Sixth Grade","Sixth Grade","SixthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:SeventhGrade","Seventh Grade","Seventh Grade","SeventhGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:EighthGrade","Eighth Grade","Eighth Grade","EighthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:NinthGrade","Ninth Grade","Ninth Grade","NinthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:TenthGrade","Tenth Grade","Tenth Grade","TenthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:EleventhGrade","Eleventh Grade","Eleventh Grade","EleventhGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:TwelfthGrade","Twelfth Grade","Twelfth Grade","TwelfthGrade","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:Grade13","Grade13","Grade13","Grade13","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:Postsecondary","Postsecondary","Postsecondary","Postsecondary","pescStudentLevelCodes:","inScheme, topConceptOf"
"Concept","pescStudentLevelCodes:PostsecondaryBachelorPreliminaryYear","Postsecondary Bachelor Preliminary Year","Postsecondary Bachelor Preliminary Year","PostsecondaryBachelorPreliminaryYear","pescStudentLevelCodes:","inScheme, topConceptOf"
