PESC,URI
Accelerated,https://w3id.org/CEDStandards/terms/NI001312127883
AdultBasic,https://w3id.org/CEDStandards/terms/NI001312127884
AdvancedPlacement,https://w3id.org/CEDStandards/terms/NI001312127885
Basic,https://w3id.org/CEDStandards/terms/NI001312127886
InternationalBaccalaureate,https://w3id.org/CEDStandards/terms/NI001312127893
CollegeLevel,https://w3id.org/CEDStandards/terms/NI001312127887
CollegePreparatory,https://w3id.org/CEDStandards/terms/NI001312127888
Dual,https://w3id.org/CEDStandards/terms/NI001312127889
GiftedTalented,https://w3id.org/CEDStandards/terms/NI001312127890
GraduateProfessional,https://w3id.org/CEDStandards/terms/NI001312127891
Honors,https://w3id.org/CEDStandards/terms/NI001312127892
LowerDivision,https://w3id.org/CEDStandards/terms/NI001312127894
NonAcademic,https://w3id.org/CEDStandards/terms/NI001312127895
Regents,https://w3id.org/CEDStandards/terms/NI001312127896
Remedial,https://w3id.org/CEDStandards/terms/NI001312127897
SpecialEducation,https://w3id.org/CEDStandards/terms/NI001312127898
TechnicalPreparatory,https://w3id.org/CEDStandards/terms/NI001312127899
UpperDivision,https://w3id.org/CEDStandards/terms/NI001312127900
Vocational,https://w3id.org/CEDStandards/terms/NI001312127901
