PESC,URI
EnglishLanguageLiterature,http://ceds.ed.gov/terms#NI001518118404
Mathematics,http://ceds.ed.gov/terms#NI001518118405
LifePhysicalSciences,http://ceds.ed.gov/terms#NI001518118406
SocialSciencesHistory,http://ceds.ed.gov/terms#NI001518118407
FinePerformingArts,http://ceds.ed.gov/terms#NI001518118408
ForeignLanguageLiterature,http://ceds.ed.gov/terms#NI001518118427
ReligiousEducationTheology,http://ceds.ed.gov/terms#NI001518118410
PhysicalHealthSafetyEducation,http://ceds.ed.gov/terms#NI001518118411
MilitaryScience,http://ceds.ed.gov/terms#NI001518118412
ComputerInformationSciences,http://ceds.ed.gov/terms#NI001518118413
CommunicationsAudioVisualTechnology,http://ceds.ed.gov/terms#NI001518118414
BusinessMarketing,http://ceds.ed.gov/terms#NI001518118415
Manufacturing,http://ceds.ed.gov/terms#NI001518118416
HealthCareSciences,http://ceds.ed.gov/terms#NI001518118417
PublicProtectiveGovernmentService,http://ceds.ed.gov/terms#NI001518118418
HospitalityTourism,http://ceds.ed.gov/terms#NI001518118419
ArchitectureConstruction,http://ceds.ed.gov/terms#NI001518118420
AgriculturefoodNaturalResources,http://ceds.ed.gov/terms#NI001518118421
HumanServices,http://ceds.ed.gov/terms#NI001518118422
TransportationDistributionLogistics,http://ceds.ed.gov/terms#NI001518118423
EngineeringTechnology,http://ceds.ed.gov/terms#NI001518118424
Miscellaneous,http://ceds.ed.gov/terms#NI001518118425
SpecialExceptionalEducationServices,http://ceds.ed.gov/terms#NI001518118426
