PESC,URI
Regular,http://ceds.ed.gov/terms#NI001303116728
AcademicRenewal,http://ceds.ed.gov/terms#NI001303115164
AdvancedPlacement,http://ceds.ed.gov/terms#NI001303115209
AdvancedStanding,http://ceds.ed.gov/terms#NI001303115213
ContinuingEducation,http://ceds.ed.gov/terms#NI001303115491
Correspondence,http://ceds.ed.gov/terms#NI001303115507
Exemption,http://ceds.ed.gov/terms#NI001303115675
Equivalence,http://ceds.ed.gov/terms#NI001303115664
InternationalBaccalaureate,http://ceds.ed.gov/terms#NI001303115957
LifeExperience,https://pesc.org/vocabs/CreditBasis#LifeExperience
Military,http://ceds.ed.gov/terms#NI001303116120
Remedial,http://ceds.ed.gov/terms#NI001303116736
CreditByExam,http://ceds.ed.gov/terms#NI001303115519
HighSchoolTransferCredit,http://ceds.ed.gov/terms#NI001303115860
HighSchoolCreditOnly,http://ceds.ed.gov/terms#NI001303115857
HighSchoolDualCredit,http://ceds.ed.gov/terms#NI001303115859
JuniorHighSchoolCredit,http://ceds.ed.gov/terms#NI001303115979
Major,http://ceds.ed.gov/terms#NI001303116065
AdultBasic,http://ceds.ed.gov/terms#NI001303115203
