PESC,URI
AuditedCourse,http://ceds.ed.gov/terms#NI001299115324
Completed,https://pesc.org/vocabs/GradeStatusCodes#Completed
HonorsGrade,http://ceds.ed.gov/terms#NI001299115877
Incomplete,http://ceds.ed.gov/terms#NI001299115916
IncompleteNotResolvedFail,http://ceds.ed.gov/terms#NI001299115918
InProgress,http://ceds.ed.gov/terms#NI001299115931
NotYetReported,http://ceds.ed.gov/terms#NI001299116290
OtherFail,http://ceds.ed.gov/terms#NI001299116438
OtherPass,http://ceds.ed.gov/terms#NI001299116457
PassFailFail,http://ceds.ed.gov/terms#NI001299116507
PassFailPass,http://ceds.ed.gov/terms#NI001299116508
PlanningToTake,https://pesc.org/vocabs/GradeStatusCodes#PlanningToTake
TransferNoGrade,http://ceds.ed.gov/terms#NI001299117075
Withdrew,http://ceds.ed.gov/terms#NI001299117192
WithdrewFailing,http://ceds.ed.gov/terms#NI001299117194
WithdrewNoPenalty,http://ceds.ed.gov/terms#NI001299117195
WithdrewPassing,http://ceds.ed.gov/terms#NI001299117196
