PESC,URI
FullYear,https://w3id.org/CEDStandards/terms/NI000254115787
Semester,https://w3id.org/CEDStandards/terms/NI000254116843
Trimester,https://w3id.org/CEDStandards/terms/NI000254117085
Quarter,https://w3id.org/CEDStandards/terms/NI000254116671
Quinmester,https://w3id.org/CEDStandards/terms/NI000254116676
MiniTerm,https://w3id.org/CEDStandards/terms/NI000254116125
SummerSession,https://w3id.org/CEDStandards/terms/NI000254116976
Intersession,https://w3id.org/CEDStandards/terms/NI000254115964
LongSession,https://w3id.org/CEDStandards/terms/NI000254116047
FallSession,https://pesc.org/vocabs/SessionTypes#FallSession
FourOneFourPlan,https://pesc.org/vocabs/SessionTypes#FourOneFourPlan
Continuous,https://pesc.org/vocabs/SessionTypes#Continuous
DiffersByProgram,https://pesc.org/vocabs/SessionTypes#DiffersByProgram
Other,https://pesc.org/vocabs/SessionTypes#Other
TwelveMonth,https://w3id.org/CEDStandards/terms/NI000254117090
